label,comments
0,Tayshatoo ooyettoppite sigi lo''ottenne
0, sigi lo''ottenne
1,Hiyeesi wonikka otoro danddayenna haakko ga ne
0,Kiike moconaa kiitay oosuwan pe'ana bessees 
0,Hachchi gallassay daro lo'ees
1,Taani harphphiyo doorikke hayqqu A
0,Ne oonatetta haraagan bayzzoppa tayshawu
1,Ne odin doriyo nu cinashshay haasaya daroppa
1,haasaya daroppa cinashshay
0,Ha''i wodiya  yeletay tumatettaassi aaruwa eqqana bessees
0,Bitanee beni attida seeraa aysuwa ehana haniiyye waaniiddi dii?
1,Ha xalahee toggido mishiriya awuppe yaadee?
0,Haraphphiyo dooriyoogee sarotaa dooriyoogaa! Giigidi naageettes
0,Dooruwan hashetiyo eenotay asa ubbawu imettiis
1,Laa waaneetii udunxxiya gididi biyanne yiyabaara coo yuuyoppite
0,Halchchidi oottiyogee hadasan ashshennan naagido hoolliya shocissees
0,Nu deriyawu aggite iita oosuwaappe simmite
1,Laa hagee ayba kahay yuuyichchido asee?
1,Wolaytta bayzzada kaysoti hageeta
0,Gooba kawuwa Xoona naato xoonidi simmite
0,Laa hanna ayba pala na'ee A oottiyoba xeellite
1,Ha melay ayba asee ubbatoo gene oottiyaagee
1,Mentershshaara shaala malatiyagee gordda ne hambbaaca doonaa
1,Laa ha miizzappe kehennaagoo agga simma asa coo gakkoppa
0,Naata korinttiya shuboy diyosaa shiishshoppa
0,Beeruwaappe soo baydda penggiya kariyanne mastewootiya gorddiyogaa dogoppa  
0,Baana koykko baychcha cabbottoppa
1,Laa nena maccaasi mulekka gelenna ha ne iita kandduwaa be'iiddi
1,Ayfiyaara sholay tana aybissi dereqqay?
1,Huuphiyaara zulddoy yooppa taakko
1,Gediyaara wora yedhdhiyagee nenkka caamma shammay poora O
0,Laa Xoossawu yayyite asa cayoppite
1,Qitee nay ne luxibeenna kahaappe iitiyabaa coo haasayoppa 
0,Miishshi baynna siiree pulaale gees nu asay haasayiiddi
0,Xoosso asaa naatussi nena akeekiyo wozanaa imma hadara
1,Ayba neeni laa Xoossi dosennabaa hanay bawu
0,Mooriyageeta odada zorada zaarappe attin Xoossan qanggoppa hegee nagara
0,Neeni asa cayiyogaa aggiyakkokka asa kiyana 
0,Ta michchee issi uraa oonatettaa erennan asa sheeshshan kochchan amppada cayoppa 
0,Neeni gita asa tayshawu nu tumiyo kessadasa anjjetta
0,Ne ishati moorikko hanqqetta ogiya bessa
1,Neeppe cinashshay tammu kushe keha 
1,Ooni ooppe daridi haasayii ta niyo laafikko al''iya giyan bayzza ekka
1,Inttesoy nusooppe kallachchaara buuqeenay haa ane ta niyo guuxxikko be'aasa
1,Baretta Xoossay  nena baro ne doonay cashshaassi awudenne dooya dees
0,Neeni asa hagadan woygada cayay pokko gidenneeyye?
0,Haasayanawu bessiya aappun lo''iyabay diishin siyanawu iitiyabaa haasayeetii?
0,Cayidi cayettosona  simi hegee eta meto 
0,Henttaa ixxana naati lanqquwa ixxees giida
1,Ha jallawu tana malatennabaa haasayoppa agga
0,Ane shemppada uttaaga nena doonay miikkonne
0,Hagee laa ubbatoo asasoo aybissi woxxii?
0,Siya ta michchee nebaa nuuni siyida nena oychchida na'ay nena aggiiss
0,Yaagaappe haagaappe miishshaa balibakkada shiishshiyogaa aggiyakko keha niyo
0,Xoossay nebaa be'o tayshawu tana coo oyqqada cayadasa gidikkii
1,Xalahee toggido uraa waatanee simi bawu yiidabaa coo haasayennee
1,Ha toppillawu neeni koyro nena erikkii 
1,Neeni nunaara aybinkka malatakka ba ne laggiya koya guuttay
1,Siya tanaara haasayana koykko ne xinqqiya achchaa meecettada ya
1,Haakka ne xiiriqay ne wolqqaappe aaruwa hanaasa
0,Tuy  ya bayiychcha taani worddo oduwa siyikke
0,Iitay iyiissidi cayees giida
1,Haakka ne kanay zine issippe diidosaa dogidaagee
1,A ayba bita na'akkonne haredan shochcha dosawusu
1,Intte bawu ayba asee ubbatookka ooshsha koyeeta
0,Cayetanawu yiidiiyye quma manawu yaadii 
0,kushiya meecettennan qumaa mooppa
1,Laa aybissi tana dereqqay nebaa eekidanaayye wurqquuqay
1,Neeppe wuuqqiya  kaysoy  keha buuqay haakka
1,Onay koyrottada ne maayuwa qitaa meeccaychcha
1,Subbuniya nenkka asa cayay cayettaychchidaara
0,Gamma gaadasa tayshawu yohuwan tumay keha
0,Ne mala minoy miixaa naagissees minna 
1,Ha molloy waani asa coo dereqqii ne ayfee gannaara kiyo
1,Diigane aggaaga ne toofina oduwa siyana koyiy baa
1,Laa kafeenay gays waanuutee?
0,Audenne asa iitabaa maqqoppa
0,Neeni oyshettidobawu bessiya zaaruwa imam
0,Asi nena diccoppa giyoobaa hanoppa
0,Agga  ta ishawu erennabaa haasayoppa
0,"Worddoy  lo""o gidenna ne kase haniyogadan surebaa hana"
1,hega ubba ottiyara nena gidena agaka tuniyaa
1,hano xosi digo kaniyo
1,ha mizze neni macca asaa gidiki nena bonchisa
1,xossayi cado nena tuniyaa
1,guye atta ne lagiyappe
1,la ha buqqeyo odiyayi bawe
1,hariya haku hana
1,ha kaniyaa ayiba asee
1,goyiko bi nena qachiya asi bawe neyo awi ayiya bawee ha tunee
1,kaniyaa yelido kaniyaa hagadan hasayawusu 
1,bi neni macce atume tuniyaa
1,hagappe sinttawu nena goyiyaro gana
1,neni xosaa awan erada xosaa xesayi macca cayisiyara lafiyaa
1,neni ayiba huphphe bayina ase
0,Hagee laa ayba sawii tonggu gees
0,"Nagara oottenna asi de""iyye ta ishawu?"
0,Gifaatay mal''iin mite
0,Gifaatay inttena qoodoppo intte gifaataa qoodite 
0,Yoo yoo gifaataa
1,Ta ishawu coo gaada hombbocattoppa!
1,Mulccee na'ay
0,Hashshukka xumaappe poo'uwawu kiyida
0,Neeni nagara ootta erikkii?
0,Makkaliyogaa agga tayshawu 
0,Aybee neeni nerkka haasayiyobay laafay
1,"Xoossay  nena game""etoppo ha biittan"
1,Woqqay kichcha ta sinttappe
1,Neeni haraqiya uyennan aggakka doonaara xinqqaasa ta ishawu?
1,Hagee na'ay gooyiichchideeyye?
1,Neeni  mulekka laafabaa hanaasa unccay
1,Gufanay nena hinnippe saro zaaroppo
1,Neeni ayba gidada hasayay qassi shufuroy 
0,"Hinna  tuma shin lo""oba hasayite"
0,Cashsha asa cayiyogaa aggite
0,Ne aayyiya nena yelu attuma asa
1,Neeni ayba  gallassi  merettadii ha buuqawu
1,Intte ayba na'ee pattennaageeti
1,Laa ha gappullay awuppe yay?
1,Yonkkee yonkkatta ekkada awu bay?
1,Ha  bulla kaysuwawu agga nena nagetta 
1,Tuytalay haakka ne
1,Ecere  malatasa ne
0,Laa aybattuwa haasayay  ne bawu
0,asi nena ezggees
1,Miizzay neeppe maataa miya miizzay keha
1, Odoogaa aggada harabaa oottay tulle
0, Ne doonan cashshappe harabi baawee?
1,Wogaacee coo biddaasa nenkka
0,Hachchi tumaa haasayadasa ta ishawu
0,Siya asa cayiyogaa essa ta ishawu.
0,Neeni hasaykko suure haasaya  geellabaa hanoppa
0,Miza simmada woommoppa hegee iitabaa
1,Unccay haakka ne nu heeraappe
1,Donoy   nenkka asa bolli  haasayay qassi
0,"Ne zoree lo""oshin aybissi cayay?"
0,Laa ta neeppe awu booshsha
1, suriya suure gixxa ane  mulccay
0,Ta ishawu hinna ne guussiya xoossappe tuma
0,Neeni qantteeyye aybissi zaatturay
1,Neeni ayba meqetta iita asee xaya ta matappe
1,Tumu unccay nena gidikkii biitta ma
1,Dorssay ne doona barikkiya haasayoppa
0,Daadoosappe hachchi tumiyo yootadasa
0,Ne diishin intteso asay aybissi kayyottii?
0,Cima asaa bonchchiyogee anjjissees
0,Ne doonaappe awude lo''obi kiyanee?
1,Worddoy niyo huuphiyaara mokkana hanees
0,Cayidi cayssiyabaappe Xoossi ashsho!
1,Neeni haasyidobay gamma gidenna sirphphi ga ane
0,Wolaytta coo cayiyaageetoo Xoossi wozana immo inttiyo
0, Wozani worin azini yeddees gees nu asay
0,Neeni awudenne tumabaa haasayishi siyays diccashsho
0,Neeni immido suure haggaazuwa gishshaa Xoossi niyo gatiyaa qanxxo
0,Siiqettidi de'iyogee keehippe koshshiyabaa
1,Hiyyeesay nena tanaara aybi gattii haakka
0,Ne  kunddananne hallittaa akeeka  ta ishawu 
0,Mali malaara manddarees gees nu asay
0,Ane haa taakko shiiqada yoota taassi siyettibeenna
0,Hanna laa tumaappe ayba  miicissiya na'ee
0, Neeni tayshaa gida ha yohuwa aggaaga nena maaddenna
0,Awankko  niyo ixxo gishshawu coo pirddoppa taaga taani erays
0, Aqennasan qamissoppa ta michchee ane eqqa denddada ba
0,Intte haasayan bali baashin eti aybissi yiillotiyonaa?
1,Neeni ubbatoo maccaasa  bollan hasayaasa laafay
0,Asa bolli gelabaa qoppoppa ane 
0,Worddotoppa hagee neeppe koyettiyaba gidenna
1,Goolixay  nenkka pattiya asa gidakka
1,Donoy ne doonaa bara 
1,Gooloy hagaa heeran aybissi gooshettay
1,Ha buuqawu nenkka tiikkittookeree ne laamee gido qitay
1,Jallay hegaa aggaagane nebay metenna gayttana
0,Tumaa gasa ishawu tanakka asay dosiyoy hegaassa
1,Ha santtay ibawu ayba asee?
0,Ne haasayay  tuma shin guuttiyo gujjadasa
1,Gillay neeni aynne erakka
1,Nenan gelida Xalahee waassidi kiyo zuyray
0,Nena taani keehippe dosays tayshawu
0,Hinna xoossappe tuma taayee nawu
1,Neeni cinashshatuura diccada asa cayay diccoppa 
0,Zoriyogaappe attin cayiyogee gamma gidenna
0,Neeni dosin A ixxikko aggaaga cayoppa
1,Musay haakka ne Xoossaa sunttan
0,Haniyobaa ubbaa akeeka simmidi nena oyshissenna mala
0,Goshoshshay coo  haasayaasa ne
0,Yaati cashshay aybissi koshshidee?
0,Neeni aybi bollan eqqadii?
0,Tuma ga ane  
1,Laa waanay guyye diccayye guuttay
1,Ne iita oosoy nena asa kessenna
0,Xoossay danddaysso nena tayshawu 
0,Yaatin awu biidi ootti maanee namisay aggennashin
1,Tuy  ha goyiyagee woyigii qassi
0,Xoossi minttetto ta michchee nena!
0,Tuma neeni gita asa tayshawu issibay aggin attees
0,Issoy issuwawu atto giyogee lo''o eeshsha
0,Tayshawu neeni hirgga daroppa xoossi dees aynnebaa
0,Anjjettite hachchi tumiyo haasayideta
1,Yeddana  machchiyo kase aybissi ekkadii pattennaagee
1, Giido qaalaa cadday guyye ekko nena worddoy
1,Wolaytta asaa ayyaanay caddo nena sheeshshan shaakkay asaa
1,Issitoonne ufayssiyabaa ootta erakka
0,Haroodeerippe hachchi haasayiya keha 
0,Xoossi niyo attogo simi taani giyoobi baawa
0,Agga intteso asaa bonchcha hagee ne hanoy lo''enna
0,Taani O aybaanne gabeykke tana coo cayaasu
0,Intte bochchennan cayikko awu nagara aggiigite
0,Hegee Wolaytta Wogappe attin haratuugaa gidenna
1,Ne oonatettaa worada haraagan alleeqoppa
0,"Laa ne lo""o asa"
1,Diggane waassoppa neeni ubbatookka coo biddaasa
0,Koyro ne tohuwan eqqennan daydda machchiyo waatada ekkay
0,Aawatetti aco gidiyogaa erana bessees
0, Hagee deexo yoho  xoossi maaddo nena simi 
0,Wolaytta karoppa ta michchee
1,Tuy ha gooyiyagee ayba asee I bawu
0,Asi bonchcho mereta ane coo cayoppa
0,Nuuni Xoossaara maadettidi kaysuwaa nu heeraappe xayssidi aggana
0,Asa kawushsha amottoppa tayshawu
0,Laa deree miiccishin miiccishin tawu uloy wooqqiis
0,Nena xeellennaban guppada geloppa
1,Ha mullaacawu niyo  wozanay  ottenneye asa coo cayoppa
0,Saroy  niyo gido ta ishawu
0,Aymalee taayee nawu xayadasa
0,Ne bolli ayyiya asi giikko taassi yoota
0,Nena bochchiya uri tana bochchees aybanne hirggoppa
0,Nenaara Xoossay dees taayeenawu 
1,Niyo wozani baawa haakka ne dammay
1,He shalqqotussi loyttada yoota ta ishawu kanappe kehokkona ha wodiya macca naati.
1,Xossay oychcho nena macca nata hagadan cayay  haakka ha kawushshay
1,Xinqqoyi nenkka coo ayyaasa 
0,Ne nagaraa xoossi atto go ta ishawu
0,Keehippe dosays  ta ishawu dicca
0,Iitay bochchoppo ta naata minnite
0,Ta ishaa goobawu minnashsho
0,Yelagata Xoossay dichcho cimatussi kiitettite
0,Maaddenna zigirssaa qoroppa neeppe naagettenna
0,Yelagati issi mino citaa medhdhanaadan hasayssoos
0,Woraabi Wolayttoo zooxaasashsho
0,Nusoo naa  gobawu minna
0,Kawo Xoona sheeshshay yayyidi kushiya immenna 
1,Ne mala laafa asi biittaa bollankka merettibeenna
1,Ha linqqilinqqawu waanay quma ma erikkiiyye?
0,Ta bixe laggiyawu aayyiya yelu nena 
0,Laa dicca ta ishawu hanno ara asi polenna tana maaddadasa
1,Neeni worddo asa nebay nuussi erettenna
0,Wolaytti Wogo sheeshsha worddokko oychcha siya taishawu
1,Ne mala worddo asata biittaappe xayssana bessees
1,Udunxxee nenkka asaara lagge gidada haasayay
0,Woraabi woraabi hayya hayya taayee naati diccite
1,Musay niyo yoppe attin suurebi hani erenna gidennee?
0,Woraabi niyo wogga wolayitawu
0,Hashshu saro yiideta 
0,Yiya laytti saro gatto shaakkoppo nuna
0,Layttay inttena qoodoppa intte layttaa qoodite 
0,Hagalo ha sa'an baree aduqqo niyo
0,Saro aqite wontto gayttana 
0,Kaalliya wodiya saro gatto nuna 
0,Intte biyosaa saro gakkite
0,Nena intteso asay seerokkonaayye?
1,Wolaytta bayzziya worddota Wolaytta biittay tookkenna
0,Hadara mooppite intte wodee baynnan hayqqenna mala
1,Gita asa malataydda guuttabaa hanaasa
0,Laafana haattay kanaa mees giida
0,Darana dabboy daran yaa'ees guuxxana dabboy gutaraa kiyee giida 
0,Dari dabbotay darin duuxxees
0,Ta ishatoo issoy issuwaara siiqettitenne bonchchettite
1,"Zee""oy  buuqay gigennaagee"
1,I neeppe hayqqidikka darees 
0,Neeni woossoppa oottada ma hagee lo''o meeze gidenna
0,Keehippe galatays ta ishawu anjjetta
1,Kokkay nenkka maaddiya asa gidakka
0,Ufayssaa ashuwa mal'’shiin miite
0,Xoossi keha ayfiyan xeello inttena
0,Naatoo intte aayyiyo aybissi waayisseetii?
1,Xoossi ero neeni maaddiya asa gidakka 
0,Ane Xoossa tumaa yoota ne biidosan ay oottay?
0,Tumaappe gays taayeenawu neeni wotoy baynna mino
0,ha na'awu dicca
0,Nuna saassoyoppa ane dicca ta ishay issitookkonne barssa
0,Wozanaagaa Xoossa xalaalay demmees
0,Worddoy sinttawu kiyenna
0,Nuussi Xoossi wozana immo gaanaappe harabi baawa
0,Xoossi dosennabaa hanoppite
0,Xoossaara kiyiday xoonuwaara simmees
1,Tayshawu waanay kaseppe gooyaychchadiiyye
0,"Nena lo""idabaa hanana danddayaasa "
0,Zorin ixxay zoodin ba''ees gees Wolayttay
1,Coo kaccikkii hegan nena ooni siyii?
0,Xoossi niyo neero zaaro
1,Haakka ha miizzay ayba asee bawu
1,Haakka ha sakkaraamee 
1,Ha moohoy ayba asee?
0,Xoossaa bollan qilliccoppa  ta ishawu
0,Neeni nena milatennabaa oottiyogaa awude agganawu day bawu
1,Niyo lafatettay yiichchiis asabaa amottaasa laafay
1,Kinssay bittaa uya ne siiriiyaara yo niyo ushshay
0,Marccuwa siita coo hadan laaloppa wontto xayiyo wodee dees
0,Xoossoo ta poluwa loytta hadara niyo
0,Xoossoo wurssettaa mooroppa 
0,Hadasan Xoossaa sunttaa coo xeesoppa laggiya hegee nagara niyo
1,Ha  meheppe kehennaagee  awuppe yiidee bawu
0,Ne hemetaa Xoossa sinttan sittissa ishawu
1,Achchaara buuqay waanay ne achchaa meeccikkii?
0,Nagari saluwa kawotettaa laatissenna era agga simma ne iita oosuwaappe
1,Wooqay biitta uya ne ushsha daroppa miyobi niyo baawa shin
1,Laa wontta woygay ane ha''I mino gidikko haasaykkii
0,Neeni wolqqaawa gidikkii shocanawukka danddayaasa tayshawu
1,Doonaara shiyay asa coo cayoppa 
0,Asa qofi awudenne hada 
0,Gaayiyaa sarbboppa neeni goofiniya harggananne
0,Ane niyo akeekaa immo tayshawu
0,Oosuwa ootta ushshi aybakka maaddenna
1,Worddanchchay neeppe ooni ekkii hegaa coo gaasa
1,Hekko baa gooyaychchadasa tayshau haakko xalahee
1,Biittaa ma ne haree
0,Neeni ushshan xayssiyo miishshan hiyyeesa maadda ane 
1,Ne hanoy tana ayba iitii 
0,Laggiya gishshawu gaada Xoossaa naaqqoppa tayshawu
0,Laa ne marccoy nena wadhdhees gidennee haakko iitay
1,Ne suuttaa Xalahee uyo niyo ushshaa haykka aggabeykkii ne?
0,Ne shemppiya tamawu olettenna mala agga iitaban hashetoppa
0,Hashshu ubbaakka shaakkennan qorennan saro pinttees
0,Xoossaa sunttay nunan bonchchetto
0,Agga tayshawu Xoossaa ammaniyageetu bolli qilliccoppa
1,Xoossi niyo neero qanxxo guuttay 
0,Niyo miishshay xaykko wanute asabaa bonqquutee? 
0,Xossayi neyo wozana imo sima waatanee
0,Wodee diishin Xoossaakko simma aara sigetta. 
0,Xalahee zoriyo iita qofan geloppa 
0,So asay kiittin makkaloppa ero gaada kiitetta
0,Yesuus bana ammaniyaageeta pirddaappe ashshees
0,Xoossaa ooso bollan kelttiya geloppa 
0,Naaca haasayaa tumabaara walakkoppa 
0,Xoossoo ne maarotaa darissa nu deriyaassi
0,Tana ooninne uyiyoogaa diggenna coo haasayoppite
0,Ushsha dariyagoo ne wurssettay kawushsha gidiyogaa dogoppa 
0,Tumaa zuubbarissada pirddoppa
1,Neeni goyiyaa asa mala gidiyo gishshawu ne haasayay gamma gidenna
0,Uyayidda uyayidda ayfiyaara barbbariya milataasa
1,Neeni pattakka asa zigirssa daraasa
1,Haakka ne hayqqaychchidaagee
0,Agga ne biyo iita ogiyappe simma ta michchee
0,Metootidaa maaddiyogee kehatetta ooso
1,Laa hagaa oyqqidi qachchekketii goyiichchiisttenne
1,Deree hagaa xeellite ane A miishshay A guyye wadhdhiyogaa biitta uyo hagee goppillay
1,Laa ha qitay bari maayuwa meeccenneeyye
0,Niyo Xoossi attogo tayshawu taani giyobi harabi baawa
0,Siya ishawu harabaa mala gaada Xoossaa bollan qilliccoppa
0,Haraban naaca ta michchee ammanobaa bochchoppa
0,Ushshay daridi neessi ulo gidduwaa wooqissiichchiis
0,Niyo ellellada Xoossakko simma  ta ishawu
0,Asi Xoossa woosso oysha ubbawu zaaroy A matappe yees
0,Xoossaa sunttay coo hadasan xeegettana bessenna
0,Ammanaydda wuuqqiyogee niyo nagara
0,Neeni ushshaa aggiyakko tuma asa kiyana 
0,Hayqqanawu eqqada Xoossaa bollan qilliccaasa gidikkii 
1,Ha gufanawu agga ne wolqqaara beennabaa hanoppa!
1,Haakka ne ubbatookka wordduwa yootaasa
0,Wolaytta wogaa malatennabaa hanoppa neeni Wolaytta gidiyogaa dogoppa
1,Ooso olli ixxo muussi ite ekko gees giida ooso dosenna azallay
0,Giyaappe aybissi wodiyaara yabeykki
1,Neeni ayba gooyiya asee bawu zoridobaa ekkakka
0,Asaa worddobaa haasayada aybissi balbbuqay atto go niyo 
0,Deree hagaappe waanooshsha giya gidduan uttidi qumaa mees 
0,Kawushshabaa hanoppa ane ne doonaa shiishsha ekka
1,Waanadii gooyikko ogiya kiya guuttay 
0,Wontto nuugaa yuutee wodee de'ii niyo? 
0,Hagee tuma keehippe michchiya yoho shin Xoossay tumaa daanna
0,Hinno shahaara maccaasiyo ne miyo sawuyiyagaappe issitookkonne barssiinawu
0,I tana dosiyoogaa keenaa oonanne dosenna
0,Xoosso ne ashsha hagee bari gacuwaappe daruwaa baarees
0,Ogiyan hemettaydda miyogaa doommadii tayshawu
1,Neeni biron gooyana asa ixxiyanne miqqaynniyagoo
0,Asaba amottiyogaa aggada niyo diyabaa siitada go'etta tayshawu
0,Waanadii kaseppe lee'adasa harggadiiyye?
1,Ne oosuwa qaraara hagaa keenaa coommay aybee kiyiday niyo?
0,Xoossoo kehaa qaada ha wodiyan siyettiyabay injjetenna
0,Xoossoo nuna maara nu nagaray dariis
1,Occoy biittaa ma ne dichchaa essaychchadasa gidikkii
1,Cinashsheenay ne aayeera baada urqqaa munaqqa ishshi?
0,Asa miizza shocoppa hegee niyo nagara
0,Eeno tayshawu saro baada saro ya ne naatukko
0,Hashshu saro yaadasa awude simmadii?
0, worddobaa haasayada asa gooshshoppa
0,Attuma asa qacaa I immido zaaro diyagee ayba ufayssidee tana
1,Ha bullawu qammiichchin hagaara awu woxxay?
1,Neeni laafa asa gidiyoogaa erays aggaaga woddotoppa
0,Asa sintta qumaa coo habucada mooppa nen qachchaa oyttenna mala era
1,Hagee makkalonttoso na'ay gooyichchideeyye waanidi kallo hemettii?
1,Laa gooyayye asa waanada ammanettay 
0,Laa nuso nawu ma miiday biidaa gakkees
0,Anjjo niyo Xoossi mizin maasa simi waatanee?
0,Agga tayshawu asabaa wolqqan dafi miyogee lo''o gidenna
0,Neson qumi diikko tana mizane iita namisetta uttaas
0,Hagaa ooratta caammaa awude shammadii ne bawu miishshaa awuppe ekkay?
0,Neeppe Xoossi ashsho danddayettabaakka tayshawu minna ane
0,Waanay hagaadan aybissi coommay quma ayfe be'a erikkiiyye?
0,Quma muussawu gidikko nena gakkiyaabi baawa
0,Wontto waananaasse hachchi neeni hagaadan coommiyoyi? 
0,Nena Xoossi maaddo taani kiisiyan miishsha oyqqabeykke
0,Woppu gaada uttaaga ane hagaadan jaamoppa
1,Suqoy neeni diyoosan taani uttikke
0,Hagee Xoossaabaa yexxiyaakko ayba lo'’aneeshsha
1,Loyttada siya ishawu ne bitay ta bolli mulekka oottenna
0,Xoossi baynna shiishoy laaletta gidiyogaa dogoppa
1,Ha kawushshee agga kawuyyennan simmiyakko niyo lo''o
0,Cayidi cayissiya iitatuppe xoossi ashsho tana  
0,Nena akeeka tayshawu kawushshay kaallenna mala
0,Koyro Xoossi bonchchiichchikko ooninne nena kawushshana danddayenna
0,Xoossi neenara gido saro simma ta michchee
0,Nu ishaa yeleta mereta minuwawu niyo ha layttawu bonchchettiyo laytta 
1,Laa ha xinqqotu xinqqo haasayaa siyanaappe awu booshsha
1,Kenkkati Xoossi shoddo inttena nu huuphiyaappe
0,Ta naatoo aggite intte iita kandduwa giigissite
1,Wooqati taassi issi baqanne gakkekketa coo biddeeta
0,Taawaa naatoo inttena iitay bochchoppo
0,Eeno giidi beettida ubbata Xoossi anjjo
0,Nu ishaa minttettida ubbata kehay oychcho 
0,Xoossay anjjo inttesoo kehay bullachchay bo
0,Kushiyaa kehan qanxxisso ubbaykka anjjettite
1,Buuqay toppattada coo yuuyoppa ane
0,Neeni ne ishaa hagaadan waatada cayay
1,Kaneenay ne aayee uluwan guyye gela
1,Udunxxee neeni yin aggin tawu aybi attii?
0,Ubbatoo ne ishaa hara asaara aybissi zigiray?
0,Moorida ura cayiyogaappe zoriyoogee kehennee?
0,Ishawu utta denddada asa coo bochchoppa
0,Qoppa ekkada hanennabaa coo haasayoppa
1,Neeni miizzeeyye asee bawu miizza gidikko maataa ma
0,Cashshawu metoy  baawashin aayiyo cayada mooradasa 
0,Asa cayiyogaappe wadhdhiyogee keha
0,Doonaa masunttaappe tooraa masunttay keha gees nu asay
0,Nuuni ooni oona cayiyo siyida asi woyganee?
1,Tuy hayzza nena asi siyananne pokkoy baynnaagee
1,Ha cinashsheenawu neeni bawu woygana koyadii?
1,Haakka hagee Xoossaa sunttan laafay 
1,Boynay coo gaada ne dooya doonaa asa bolli dooyoppa
1,Zallumay  asa coo ixxoppa
1,Ha wurqquuqawu Xoosay nena shoddo nusooppe
0,Yelida aaya bonchcho gidiyo gishshawu coo cayoppa ane 
1,Etappekka daruwa neeni laafa pattennaagee
0,Attuma asa gidikko ane shiiqada haasay
1,mullccee nay  koyrottada ne mulccaa meecetta simmada haasaya
1,Dulliyaara geleshshuwa telluwa malatiyagee 
1,Doonaara hambbaacay coo haasayasa ne
1,Ha mehiya ooni xeegin yiidee bawu?
0,Xeesennan yiiday kallennan bees giida
0,Aybee tayshawu neeni maaraba hananay awudeeshsha
0,Cashshappe harabi ne doonan baawee?
1,Niyo taani achchaa kolana haasaya daroppa
1,Ha qorisuwawu 
1,Nena aybi gattin haasayay ha micuwawu 
0,Hegee nena xeellii?
1,Hagee ayba asee pokko laa pokko erennaagee
1,Ha musay ayba bonchchoy baynna asee
1,Gawuxee nay ta nena demmanawu  days wonttaaro dogoppa
1,Laa heekko guuxxaychchadasa ha qiiba na'ay ne bolli haasayii?
1,Dara giddon qosettada aybaa oottay guxunee
1,Siya doona daroppa warettana koykko haaya taakko
0,Tayshawu erennaban geloppa simmidi nena metenna mala
1,neeni macca asaa giddon qangettidaro
1,tuniyaa macca assa gidki neni
1,neni kaniyaa ayiba ase
1,ha tuniyaa woyigayi xossa sunttan haaka
1,xossayi sero nena haga hasayayis gara hasayayi godayi sero nena
1,nee inxxarssa kokiyaffe qanixxanna koshes kaniyaa\
1,ne hasaya gigisa ha goyayichidare
1,tuniyaa nega odayida dayi gada
1,konkiyaa co hasayoppa
1,qangetidara woqiya
1,bi ayiba palabba hasayayi ha kanee
1,xoosay nedoonawuka haniquwa kitto ha tunee
1,kane neni macca gidiki xosi neyo wozana imo neni dosara hanaka goyassa
1,ha kaniyaa wanayi dere hina macca gidekeye dere
1,qittiya neni ayiba lafa macca asee
1,yesussa sunttan haakka kaaniyya
1,hano goyiyari naiyo awuppe ehidetti
0,Wolaytta kochcha xoqqa kawo maatawati ubbay kushiya kushiyaara oyqqettidi Wolaytta sinttawu dichchana beessees
0,Ayssi pattennaban wodiya wursseetii?
0,Ixuwa nu giddoppe xayssidi  issippetettan minnana koshshees
0,Oduwa dariyogaa aggidi odiyobata oosuwan  bessana koshshees wode benigaa mala gidenna
0,Nu ishatoo aggite issoyi issuwa cayoppite 
0,Aybippekka aaruwa nususi dooroy baynna saroy koshshees
0,Ooshshaanne oalaa nu giddoppe maaci caaqqidi aggoos
0,Ushshaa mattuwa agganawu na''antto xiine gido  giidi cashoos
1,Laa hageeti ay qoppidi asa bolli aattidi haasayiyoonaa?
0,Aykkobaa xillotussi xoossay wodiyaa ehaanawu de'ees
1,Wonikka bonchchoy baynna uraa wurssettiya hannokka gedekkee
1,Uloy kallikko I asa bollan coo toocees haka
1,Kanee naati intte  laggettttaycoo xoyo
1,Neeni oona gido gishshawu eta bolli kallay
0,Wolaytta asaa afuttaa Xossay  quccanawu dees  aykko baawa
0,Ubbabaykka polettanawu bari wodiya naagees
0,Wolaytta yellagatu suuttaa acoy worissida ubbata oychchanawu dees
0,Oossi gidinkka imettida kawotetta maatay qantta wodiyaassa gidiyogaa era 
1,Doorettoogaara attaagakka shaarettaykka de'ees 
0,Nu daafuraa acuwa Xoossaya qanxxo nuussi 
0,Nu donaa Xoossi hasayo simi harabaa woyganee 
0,Miishshay tumaa gorddiis Xoossay bari gallassan dooyana dees 
1,Kaysuwa oyqqite giidi nuna  shemppuwa teqqoppite kaysoy oyqettenna
1,Xossay inttena  nu huuphiyaappe shoddo 
1,Wolaytta worida worddoti haykka inttiyo dooni dees giidi haasayeetii?
1,Wordduwa biittay tookkenna coo daafureeta 
0,Morkkee sugettaa dariyogee xoqqaa kessanaassa 
1,Ha  buuqati bantta uluwa gishshawu  Wolaytta bayizzosona gidennee 
1,qaaxxayi
0,"Wolaytta wogaa maayoy lo""esi"
0,taishato Issi yelagay ubba yelagaassi ubba yelagay issi yelagaassi
0,Yelagay kumettay  kushiya oyqqettidi Wolaytta morkkeata  eqettana bessees
0,Wolqqaara de'iya wodalla ubbay dichchaa oosuwan hashetana bessees
0,Nuna zemppissiya Xoossaa kushee nunaara dees 
0,Nuuni  ubaykka intte miyiyan deettees hirggoppite
